Order_ID,Order_Date,SKU,Supplier_ID,Warehouse_ID,Expected_Delivery_Date,Actual_Delivery_Date,Freight_Cost,Order_Quantity
ORD00001,2024-11-06,SKU0037,SUP006,WH04,2024-12-01,2024-11-29,1285.79,340
ORD00002,2024-05-14,SKU0011,SUP015,WH09,2024-06-13,2024-06-11,571.93,136
ORD00003,2024-04-07,SKU0059,SUP009,WH02,2024-05-05,2024-05-04,1906.14,248
ORD00004,2024-07-01,SKU0064,SUP012,WH09,2024-07-24,2024-07-23,165.36,209
ORD00005,2024-04-07,SKU0094,SUP007,WH04,2024-04-26,2024-04-25,348.56,76
ORD00006,2024-08-14,SKU0090,SUP014,WH10,2024-09-21,2024-09-21,1802.79,310
ORD00007,2024-09-29,SKU0023,SUP020,WH02,2024-11-06,2024-11-06,1495.12,188
ORD00008,2024-05-28,SKU0026,SUP014,WH03,2024-07-05,2024-07-05,220.1,207
ORD00009,2024-10-12,SKU0100,SUP019,WH04,2024-11-17,2024-11-17,1260.75,302
ORD00010,2024-06-06,SKU0033,SUP019,WH10,2024-07-12,2024-07-11,1732.41,25
ORD00011,2024-12-20,SKU0046,SUP003,WH08,2025-01-13,2025-01-13,1386.07,468
ORD00012,2024-04-06,SKU0031,SUP020,WH09,2024-05-14,2024-05-12,792.07,119
ORD00013,2024-09-14,SKU0040,SUP017,WH06,2024-09-24,2024-09-23,1289.58,342
ORD00014,2024-07-14,SKU0057,SUP009,WH08,2024-08-11,2024-08-11,1019.09,390
ORD00015,2024-12-10,SKU0030,SUP013,WH07,2024-12-23,2024-12-22,1913.35,85
ORD00016,2024-03-21,SKU0042,SUP013,WH07,2024-04-03,2024-04-05,663.12,131
ORD00017,2024-03-12,SKU0036,SUP016,WH09,2024-04-14,2024-04-13,1808.3,212
ORD00018,2024-11-12,SKU0011,SUP017,WH10,2024-11-22,2024-11-23,1175.25,410
ORD00019,2024-11-24,SKU0079,SUP003,WH06,2024-12-18,2024-12-31,347.7,321
ORD00020,2024-09-29,SKU0090,SUP001,WH05,2024-11-05,2024-11-03,838.98,238
