Date,Warehouse_ID,SKU,Stock_On_Hand,Average_Daily_Demand
2025-01-01,WH01,SKU0001,110,27
2025-01-02,WH01,SKU0001,132,31
2025-01-03,WH01,SKU0001,129,33
2025-01-04,WH01,SKU0001,145,26
2025-01-05,WH01,SKU0001,147,31
2025-01-06,WH01,SKU0001,134,25
2025-01-07,WH01,SKU0001,133,32
2025-01-08,WH01,SKU0001,132,25
2025-01-09,WH01,SKU0001,129,34
2025-01-10,WH01,SKU0001,137,26
2025-01-11,WH01,SKU0001,147,34
2025-01-12,WH01,SKU0001,115,33
2025-01-13,WH01,SKU0001,125,30
2025-01-14,WH01,SKU0001,126,32
2025-01-15,WH01,SKU0001,148,32
2025-01-16,WH01,SKU0001,146,34
2025-01-17,WH01,SKU0001,112,27
2025-01-18,WH01,SKU0001,137,30
2025-01-19,WH01,SKU0001,111,25
2025-01-20,WH01,SKU0001,129,31
2025-01-21,WH01,SKU0001,115,26
2025-01-22,WH01,SKU0001,114,30
2025-01-23,WH01,SKU0001,109,30
2025-01-24,WH01,SKU0001,128,29
2025-01-25,WH01,SKU0001,136,30
2025-01-26,WH01,SKU0001,138,32
2025-01-27,WH01,SKU0001,145,32
2025-01-28,WH01,SKU0001,129,29
2025-01-29,WH01,SKU0001,118,30
2025-01-30,WH01,SKU0001,114,34
2025-01-01,WH01,SKU0002,441,5
2025-01-02,WH01,SKU0002,438,4
2025-01-03,WH01,SKU0002,429,10
2025-01-04,WH01,SKU0002,439,8
2025-01-05,WH01,SKU0002,446,11
2025-01-06,WH01,SKU0002,418,10
2025-01-07,WH01,SKU0002,439,7
2025-01-08,WH01,SKU0002,439,12
2025-01-09,WH01,SKU0002,442,11
2025-01-10,WH01,SKU0002,435,6
2025-01-11,WH01,SKU0002,441,7
2025-01-12,WH01,SKU0002,431,7
2025-01-13,WH01,SKU0002,422,5
2025-01-14,WH01,SKU0002,448,5
2025-01-15,WH01,SKU0002,413,13
2025-01-16,WH01,SKU0002,432,8
2025-01-17,WH01,SKU0002,439,7
2025-01-18,WH01,SKU0002,415,11
2025-01-19,WH01,SKU0002,417,9
2025-01-20,WH01,SKU0002,447,13
2025-01-21,WH01,SKU0002,424,11
2025-01-22,WH01,SKU0002,434,8
2025-01-23,WH01,SKU0002,415,7
2025-01-24,WH01,SKU0002,436,13
2025-01-25,WH01,SKU0002,410,11
2025-01-26,WH01,SKU0002,443,13
2025-01-27,WH01,SKU0002,426,5
2025-01-28,WH01,SKU0002,420,12
2025-01-29,WH01,SKU0002,445,10
2025-01-30,WH01,SKU0002,414,5
2025-01-01,WH01,SKU0003,246,26
2025-01-02,WH01,SKU0003,266,20
2025-01-03,WH01,SKU0003,248,24
2025-01-04,WH01,SKU0003,273,28
2025-01-05,WH01,SKU0003,262,22
2025-01-06,WH01,SKU0003,283,24
2025-01-07,WH01,SKU0003,257,24
2025-01-08,WH01,SKU0003,245,23
2025-01-09,WH01,SKU0003,265,29
2025-01-10,WH01,SKU0003,274,27
2025-01-11,WH01,SKU0003,266,21
2025-01-12,WH01,SKU0003,260,29
2025-01-13,WH01,SKU0003,246,28
2025-01-14,WH01,SKU0003,272,22
2025-01-15,WH01,SKU0003,276,28
2025-01-16,WH01,SKU0003,246,21
2025-01-17,WH01,SKU0003,271,29
2025-01-18,WH01,SKU0003,245,26
2025-01-19,WH01,SKU0003,250,26
2025-01-20,WH01,SKU0003,269,20
2025-01-21,WH01,SKU0003,272,28
2025-01-22,WH01,SKU0003,279,20
2025-01-23,WH01,SKU0003,254,22
2025-01-24,WH01,SKU0003,263,21
2025-01-25,WH01,SKU0003,279,27
2025-01-26,WH01,SKU0003,277,21
2025-01-27,WH01,SKU0003,245,29
2025-01-28,WH01,SKU0003,256,26
2025-01-29,WH01,SKU0003,281,20
2025-01-30,WH01,SKU0003,245,20
2025-01-01,WH01,SKU0004,132,7
2025-01-02,WH01,SKU0004,139,9
2025-01-03,WH01,SKU0004,138,3
2025-01-04,WH01,SKU0004,111,9
2025-01-05,WH01,SKU0004,109,1
2025-01-06,WH01,SKU0004,126,9
2025-01-07,WH01,SKU0004,138,10
2025-01-08,WH01,SKU0004,104,8
2025-01-09,WH01,SKU0004,133,7
2025-01-10,WH01,SKU0004,132,9
2025-01-11,WH01,SKU0004,117,1
2025-01-12,WH01,SKU0004,118,3
2025-01-13,WH01,SKU0004,104,2
2025-01-14,WH01,SKU0004,127,6
2025-01-15,WH01,SKU0004,121,8
2025-01-16,WH01,SKU0004,121,7
2025-01-17,WH01,SKU0004,103,9
2025-01-18,WH01,SKU0004,117,2
2025-01-19,WH01,SKU0004,132,8
2025-01-20,WH01,SKU0004,102,2
2025-01-21,WH01,SKU0004,100,3
2025-01-22,WH01,SKU0004,103,8
2025-01-23,WH01,SKU0004,120,10
2025-01-24,WH01,SKU0004,129,7
2025-01-25,WH01,SKU0004,120,1
2025-01-26,WH01,SKU0004,102,7
2025-01-27,WH01,SKU0004,100,1
2025-01-28,WH01,SKU0004,108,9
2025-01-29,WH01,SKU0004,118,8
2025-01-30,WH01,SKU0004,116,2
2025-01-01,WH01,SKU0005,227,4
2025-01-02,WH01,SKU0005,212,12
2025-01-03,WH01,SKU0005,220,7
2025-01-04,WH01,SKU0005,218,10
2025-01-05,WH01,SKU0005,207,9
2025-01-06,WH01,SKU0005,231,8
2025-01-07,WH01,SKU0005,214,4
2025-01-08,WH01,SKU0005,206,12
2025-01-09,WH01,SKU0005,218,6
2025-01-10,WH01,SKU0005,213,8
2025-01-11,WH01,SKU0005,218,9
2025-01-12,WH01,SKU0005,207,9
2025-01-13,WH01,SKU0005,214,12
2025-01-14,WH01,SKU0005,203,4
2025-01-15,WH01,SKU0005,215,8
2025-01-16,WH01,SKU0005,224,7
2025-01-17,WH01,SKU0005,233,7
2025-01-18,WH01,SKU0005,202,4
2025-01-19,WH01,SKU0005,235,4
2025-01-20,WH01,SKU0005,234,5
2025-01-21,WH01,SKU0005,200,6
2025-01-22,WH01,SKU0005,221,7
2025-01-23,WH01,SKU0005,228,9
2025-01-24,WH01,SKU0005,213,9
2025-01-25,WH01,SKU0005,235,7
2025-01-26,WH01,SKU0005,203,7
2025-01-27,WH01,SKU0005,230,5
2025-01-28,WH01,SKU0005,234,8
2025-01-29,WH01,SKU0005,221,6
2025-01-30,WH01,SKU0005,233,3
2025-01-01,WH01,SKU0006,183,18
2025-01-02,WH01,SKU0006,169,16
2025-01-03,WH01,SKU0006,167,19
2025-01-04,WH01,SKU0006,178,19
2025-01-05,WH01,SKU0006,187,21
2025-01-06,WH01,SKU0006,185,20
2025-01-07,WH01,SKU0006,187,20
2025-01-08,WH01,SKU0006,188,17
2025-01-09,WH01,SKU0006,173,21
2025-01-10,WH01,SKU0006,177,19
2025-01-11,WH01,SKU0006,171,18
2025-01-12,WH01,SKU0006,185,20
2025-01-13,WH01,SKU0006,185,17
2025-01-14,WH01,SKU0006,202,19
2025-01-15,WH01,SKU0006,196,21
2025-01-16,WH01,SKU0006,186,22
2025-01-17,WH01,SKU0006,169,23
2025-01-18,WH01,SKU0006,198,19
2025-01-19,WH01,SKU0006,193,19
2025-01-20,WH01,SKU0006,174,21
2025-01-21,WH01,SKU0006,173,17
2025-01-22,WH01,SKU0006,184,22
2025-01-23,WH01,SKU0006,179,18
2025-01-24,WH01,SKU0006,165,15
2025-01-25,WH01,SKU0006,166,14
2025-01-26,WH01,SKU0006,198,22
2025-01-27,WH01,SKU0006,196,14
2025-01-28,WH01,SKU0006,167,16
2025-01-29,WH01,SKU0006,186,17
2025-01-30,WH01,SKU0006,183,15
2025-01-01,WH01,SKU0007,360,17
2025-01-02,WH01,SKU0007,394,10
2025-01-03,WH01,SKU0007,375,18
2025-01-04,WH01,SKU0007,386,18
2025-01-05,WH01,SKU0007,374,13
2025-01-06,WH01,SKU0007,386,11
2025-01-07,WH01,SKU0007,367,16
2025-01-08,WH01,SKU0007,384,11
2025-01-09,WH01,SKU0007,378,13
2025-01-10,WH01,SKU0007,378,19
2025-01-11,WH01,SKU0007,361,19
2025-01-12,WH01,SKU0007,375,17
2025-01-13,WH01,SKU0007,374,13
2025-01-14,WH01,SKU0007,388,16
2025-01-15,WH01,SKU0007,363,17
2025-01-16,WH01,SKU0007,388,13
2025-01-17,WH01,SKU0007,395,16
2025-01-18,WH01,SKU0007,371,10
2025-01-19,WH01,SKU0007,384,12
2025-01-20,WH01,SKU0007,388,15
2025-01-21,WH01,SKU0007,376,11
2025-01-22,WH01,SKU0007,386,11
2025-01-23,WH01,SKU0007,374,18
2025-01-24,WH01,SKU0007,394,19
2025-01-25,WH01,SKU0007,396,15
2025-01-26,WH01,SKU0007,366,18
2025-01-27,WH01,SKU0007,390,19
2025-01-28,WH01,SKU0007,384,11
2025-01-29,WH01,SKU0007,378,14
2025-01-30,WH01,SKU0007,391,13
2025-01-01,WH01,SKU0008,210,9
2025-01-02,WH01,SKU0008,178,6
2025-01-03,WH01,SKU0008,196,6
2025-01-04,WH01,SKU0008,213,3
2025-01-05,WH01,SKU0008,189,3
2025-01-06,WH01,SKU0008,186,11
2025-01-07,WH01,SKU0008,214,2
2025-01-08,WH01,SKU0008,202,4
2025-01-09,WH01,SKU0008,184,4
2025-01-10,WH01,SKU0008,184,6
2025-01-11,WH01,SKU0008,216,7
2025-01-12,WH01,SKU0008,205,6
2025-01-13,WH01,SKU0008,177,2
2025-01-14,WH01,SKU0008,187,4
2025-01-15,WH01,SKU0008,210,10
2025-01-16,WH01,SKU0008,211,8
2025-01-17,WH01,SKU0008,199,8
2025-01-18,WH01,SKU0008,193,8
2025-01-19,WH01,SKU0008,208,9
2025-01-20,WH01,SKU0008,201,2
2025-01-21,WH01,SKU0008,205,5
2025-01-22,WH01,SKU0008,206,7
2025-01-23,WH01,SKU0008,212,5
2025-01-24,WH01,SKU0008,214,10
2025-01-25,WH01,SKU0008,190,6
2025-01-26,WH01,SKU0008,198,9
2025-01-27,WH01,SKU0008,204,10
2025-01-28,WH01,SKU0008,191,7
2025-01-29,WH01,SKU0008,194,11
2025-01-30,WH01,SKU0008,189,7
2025-01-01,WH01,SKU0009,99,32
2025-01-02,WH01,SKU0009,107,33
2025-01-03,WH01,SKU0009,117,34
2025-01-04,WH01,SKU0009,104,30
2025-01-05,WH01,SKU0009,84,32
2025-01-06,WH01,SKU0009,123,38
2025-01-07,WH01,SKU0009,109,35
2025-01-08,WH01,SKU0009,99,30
2025-01-09,WH01,SKU0009,84,32
2025-01-10,WH01,SKU0009,96,30
2025-01-11,WH01,SKU0009,94,29
2025-01-12,WH01,SKU0009,108,38
2025-01-13,WH01,SKU0009,111,33
2025-01-14,WH01,SKU0009,100,32
2025-01-15,WH01,SKU0009,89,34
2025-01-16,WH01,SKU0009,106,29
2025-01-17,WH01,SKU0009,100,31
2025-01-18,WH01,SKU0009,90,36
2025-01-19,WH01,SKU0009,105,35
2025-01-20,WH01,SKU0009,112,38
2025-01-21,WH01,SKU0009,116,35
2025-01-22,WH01,SKU0009,119,33
2025-01-23,WH01,SKU0009,123,36
2025-01-24,WH01,SKU0009,110,38
2025-01-25,WH01,SKU0009,104,36
2025-01-26,WH01,SKU0009,95,38
2025-01-27,WH01,SKU0009,108,36
2025-01-28,WH01,SKU0009,102,37
2025-01-29,WH01,SKU0009,86,30
2025-01-30,WH01,SKU0009,104,36
2025-01-01,WH01,SKU0010,419,20
2025-01-02,WH01,SKU0010,432,21
2025-01-03,WH01,SKU0010,410,24
2025-01-04,WH01,SKU0010,398,24
2025-01-05,WH01,SKU0010,400,17
2025-01-06,WH01,SKU0010,426,22
2025-01-07,WH01,SKU0010,432,22
2025-01-08,WH01,SKU0010,419,18
2025-01-09,WH01,SKU0010,394,16
2025-01-10,WH01,SKU0010,405,15
2025-01-11,WH01,SKU0010,414,22
2025-01-12,WH01,SKU0010,432,19
2025-01-13,WH01,SKU0010,429,24
2025-01-14,WH01,SKU0010,428,19
2025-01-15,WH01,SKU0010,407,24
2025-01-16,WH01,SKU0010,403,19
2025-01-17,WH01,SKU0010,396,22
2025-01-18,WH01,SKU0010,419,15
2025-01-19,WH01,SKU0010,402,20
2025-01-20,WH01,SKU0010,415,23
2025-01-21,WH01,SKU0010,404,24
2025-01-22,WH01,SKU0010,411,23
2025-01-23,WH01,SKU0010,403,15
2025-01-24,WH01,SKU0010,396,18
2025-01-25,WH01,SKU0010,432,15
2025-01-26,WH01,SKU0010,408,16
2025-01-27,WH01,SKU0010,431,21
2025-01-28,WH01,SKU0010,424,22
2025-01-29,WH01,SKU0010,420,22
2025-01-30,WH01,SKU0010,394,23
2025-01-01,WH01,SKU0011,377,33
2025-01-02,WH01,SKU0011,377,25
2025-01-03,WH01,SKU0011,398,27
2025-01-04,WH01,SKU0011,366,31
2025-01-05,WH01,SKU0011,371,33
2025-01-06,WH01,SKU0011,379,25
2025-01-07,WH01,SKU0011,400,30
2025-01-08,WH01,SKU0011,372,31
2025-01-09,WH01,SKU0011,383,25
2025-01-10,WH01,SKU0011,392,29
2025-01-11,WH01,SKU0011,389,33
2025-01-12,WH01,SKU0011,386,31
2025-01-13,WH01,SKU0011,372,27
2025-01-14,WH01,SKU0011,378,33
2025-01-15,WH01,SKU0011,382,28
2025-01-16,WH01,SKU0011,393,33
2025-01-17,WH01,SKU0011,398,27
2025-01-18,WH01,SKU0011,390,30
2025-01-19,WH01,SKU0011,379,28
2025-01-20,WH01,SKU0011,366,27
2025-01-21,WH01,SKU0011,383,33
2025-01-22,WH01,SKU0011,396,26
2025-01-23,WH01,SKU0011,389,25
2025-01-24,WH01,SKU0011,389,28
2025-01-25,WH01,SKU0011,379,32
2025-01-26,WH01,SKU0011,378,33
2025-01-27,WH01,SKU0011,383,34
2025-01-28,WH01,SKU0011,387,27
2025-01-29,WH01,SKU0011,393,29
2025-01-30,WH01,SKU0011,383,26
2025-01-01,WH01,SKU0012,90,29
2025-01-02,WH01,SKU0012,117,27
2025-01-03,WH01,SKU0012,112,25
2025-01-04,WH01,SKU0012,85,23
2025-01-05,WH01,SKU0012,102,29
2025-01-06,WH01,SKU0012,91,24
2025-01-07,WH01,SKU0012,96,21
2025-01-08,WH01,SKU0012,87,23
2025-01-09,WH01,SKU0012,86,20
2025-01-10,WH01,SKU0012,97,22
2025-01-11,WH01,SKU0012,105,20
